annee,secteur,nb_creations,taux_chomage,nuitees_milliers
2012,"Agriculture, sylviculture et peche",182.7,10.6,14200
2012,Industries extractives,12.0,10.6,14200
2012,Industrie manufacturiere,632.0,10.6,14200
2012,"Energie, eau, gaz",88.9,10.6,14200
2012,Construction,1807.2,10.6,14200
2012,Commerce ; reparation automobiles,2631.4,10.6,14200
2012,Transports et entreposage,502.7,10.6,14200
2012,Hebergement et restauration,1381.1,10.6,14200
2012,Information et communication,414.1,10.6,14200
2012,Activites financieres et assurance,315.0,10.6,14200
2012,Activites immobilieres,374.7,10.6,14200
2012,"Activites specialisees, scientifiques et techniques",1498.8,10.6,14200
2012,Activites de services administratifs et de soutien,684.9,10.6,14200
2012,Enseignement,273.4,10.6,14200
2012,Sante humaine et action sociale,1118.9,10.6,14200
2012,"Arts, spectacles et activites recreatives",334.3,10.6,14200
2012,Autres activites de services,853.3,10.6,14200
2013,"Agriculture, sylviculture et peche",185.3,10.3,14500
2013,Industries extractives,11.8,10.3,14500
2013,Industrie manufacturiere,611.5,10.3,14500
2013,"Energie, eau, gaz",92.3,10.3,14500
2013,Construction,1880.0,10.3,14500
2013,Commerce ; reparation automobiles,2735.0,10.3,14500
2013,Transports et entreposage,477.9,10.3,14500
2013,Hebergement et restauration,1367.8,10.3,14500
2013,Information et communication,446.7,10.3,14500
2013,Activites financieres et assurance,308.3,10.3,14500
2013,Activites immobilieres,399.7,10.3,14500
2013,"Activites specialisees, scientifiques et techniques",1582.2,10.3,14500
2013,Activites de services administratifs et de soutien,707.8,10.3,14500
2013,Enseignement,299.0,10.3,14500
2013,Sante humaine et action sociale,1307.8,10.3,14500
2013,"Arts, spectacles et activites recreatives",353.5,10.3,14500
2013,Autres activites de services,894.7,10.3,14500
2014,"Agriculture, sylviculture et peche",191.9,10.1,14100
2014,Industries extractives,11.8,10.1,14100
2014,Industrie manufacturiere,661.9,10.1,14100
2014,"Energie, eau, gaz",86.5,10.1,14100
2014,Construction,1890.1,10.1,14100
2014,Commerce ; reparation automobiles,2828.0,10.1,14100
2014,Transports et entreposage,530.7,10.1,14100
2014,Hebergement et restauration,1439.6,10.1,14100
2014,Information et communication,470.3,10.1,14100
2014,Activites financieres et assurance,325.9,10.1,14100
2014,Activites immobilieres,392.8,10.1,14100
2014,"Activites specialisees, scientifiques et techniques",1671.0,10.1,14100
2014,Activites de services administratifs et de soutien,739.3,10.1,14100
2014,Enseignement,329.9,10.1,14100
2014,Sante humaine et action sociale,1314.4,10.1,14100
2014,"Arts, spectacles et activites recreatives",348.3,10.1,14100
2014,Autres activites de services,979.6,10.1,14100
2015,"Agriculture, sylviculture et peche",188.8,10.6,14300
2015,Industries extractives,12.1,10.6,14300
2015,Industrie manufacturiere,689.9,10.6,14300
2015,"Energie, eau, gaz",98.6,10.6,14300
2015,Construction,2104.4,10.6,14300
2015,Commerce ; reparation automobiles,2822.8,10.6,14300
2015,Transports et entreposage,534.9,10.6,14300
2015,Hebergement et restauration,1489.8,10.6,14300
2015,Information et communication,514.9,10.6,14300
2015,Activites financieres et assurance,333.9,10.6,14300
2015,Activites immobilieres,425.1,10.6,14300
2015,"Activites specialisees, scientifiques et techniques",1750.3,10.6,14300
2015,Activites de services administratifs et de soutien,758.9,10.6,14300
2015,Enseignement,343.9,10.6,14300
2015,Sante humaine et action sociale,1421.6,10.6,14300
2015,"Arts, spectacles et activites recreatives",381.6,10.6,14300
2015,Autres activites de services,1049.4,10.6,14300
2016,"Agriculture, sylviculture et peche",197.0,10.2,14800
2016,Industries extractives,12.2,10.2,14800
2016,Industrie manufacturiere,705.4,10.2,14800
2016,"Energie, eau, gaz",104.0,10.2,14800
2016,Construction,2126.9,10.2,14800
2016,Commerce ; reparation automobiles,3122.6,10.2,14800
2016,Transports et entreposage,517.4,10.2,14800
2016,Hebergement et restauration,1556.9,10.2,14800
2016,Information et communication,531.6,10.2,14800
2016,Activites financieres et assurance,345.8,10.2,14800
2016,Activites immobilieres,445.8,10.2,14800
2016,"Activites specialisees, scientifiques et techniques",1804.5,10.2,14800
2016,Activites de services administratifs et de soutien,821.1,10.2,14800
2016,Enseignement,356.3,10.2,14800
2016,Sante humaine et action sociale,1497.9,10.2,14800
2016,"Arts, spectacles et activites recreatives",391.6,10.2,14800
2016,Autres activites de services,1043.7,10.2,14800
2017,"Agriculture, sylviculture et peche",195.7,9.8,15200
2017,Industries extractives,13.0,9.8,15200
2017,Industrie manufacturiere,725.8,9.8,15200
2017,"Energie, eau, gaz",101.8,9.8,15200
2017,Construction,2248.4,9.8,15200
2017,Commerce ; reparation automobiles,3081.0,9.8,15200
2017,Transports et entreposage,601.0,9.8,15200
2017,Hebergement et restauration,1532.1,9.8,15200
2017,Information et communication,556.5,9.8,15200
2017,Activites financieres et assurance,355.1,9.8,15200
2017,Activites immobilieres,442.0,9.8,15200
2017,"Activites specialisees, scientifiques et techniques",2052.2,9.8,15200
2017,Activites de services administratifs et de soutien,874.7,9.8,15200
2017,Enseignement,370.2,9.8,15200
2017,Sante humaine et action sociale,1495.4,9.8,15200
2017,"Arts, spectacles et activites recreatives",396.1,9.8,15200
2017,Autres activites de services,1109.0,9.8,15200
2018,"Agriculture, sylviculture et peche",200.6,9.2,15800
2018,Industries extractives,12.4,9.2,15800
2018,Industrie manufacturiere,736.7,9.2,15800
2018,"Energie, eau, gaz",108.9,9.2,15800
2018,Construction,2433.2,9.2,15800
2018,Commerce ; reparation automobiles,3180.8,9.2,15800
2018,Transports et entreposage,612.0,9.2,15800
2018,Hebergement et restauration,1608.4,9.2,15800
2018,Information et communication,561.5,9.2,15800
2018,Activites financieres et assurance,369.9,9.2,15800
2018,Activites immobilieres,481.7,9.2,15800
2018,"Activites specialisees, scientifiques et techniques",2315.5,9.2,15800
2018,Activites de services administratifs et de soutien,906.0,9.2,15800
2018,Enseignement,392.1,9.2,15800
2018,Sante humaine et action sociale,1579.7,9.2,15800
2018,"Arts, spectacles et activites recreatives",415.1,9.2,15800
2018,Autres activites de services,1219.7,9.2,15800
2019,"Agriculture, sylviculture et peche",211.4,8.5,16200
2019,Industries extractives,13.2,8.5,16200
2019,Industrie manufacturiere,741.7,8.5,16200
2019,"Energie, eau, gaz",116.6,8.5,16200
2019,Construction,2294.3,8.5,16200
2019,Commerce ; reparation automobiles,3316.5,8.5,16200
2019,Transports et entreposage,673.2,8.5,16200
2019,Hebergement et restauration,1611.0,8.5,16200
2019,Information et communication,620.8,8.5,16200
2019,Activites financieres et assurance,382.4,8.5,16200
2019,Activites immobilieres,492.5,8.5,16200
2019,"Activites specialisees, scientifiques et techniques",2179.2,8.5,16200
2019,Activites de services administratifs et de soutien,958.8,8.5,16200
2019,Enseignement,395.1,8.5,16200
2019,Sante humaine et action sociale,1684.0,8.5,16200
2019,"Arts, spectacles et activites recreatives",435.1,8.5,16200
2019,Autres activites de services,1295.8,8.5,16200
2020,"Agriculture, sylviculture et peche",175.1,9.1,9800
2020,Industries extractives,10.9,9.1,9800
2020,Industrie manufacturiere,683.9,9.1,9800
2020,"Energie, eau, gaz",95.2,9.1,9800
2020,Construction,2131.6,9.1,9800
2020,Commerce ; reparation automobiles,2965.3,9.1,9800
2020,Transports et entreposage,531.4,9.1,9800
2020,Hebergement et restauration,1461.7,9.1,9800
2020,Information et communication,573.4,9.1,9800
2020,Activites financieres et assurance,341.6,9.1,9800
2020,Activites immobilieres,425.6,9.1,9800
2020,"Activites specialisees, scientifiques et techniques",1977.7,9.1,9800
2020,Activites de services administratifs et de soutien,867.3,9.1,9800
2020,Enseignement,367.4,9.1,9800
2020,Sante humaine et action sociale,1493.0,9.1,9800
2020,"Arts, spectacles et activites recreatives",399.6,9.1,9800
2020,Autres activites de services,1082.6,9.1,9800
2021,"Agriculture, sylviculture et peche",285.9,8.0,13500
2021,Industries extractives,17.5,8.0,13500
2021,Industrie manufacturiere,1044.9,8.0,13500
2021,"Energie, eau, gaz",168.6,8.0,13500
2021,Construction,3468.0,8.0,13500
2021,Commerce ; reparation automobiles,4401.0,8.0,13500
2021,Transports et entreposage,919.6,8.0,13500
2021,Hebergement et restauration,2257.1,8.0,13500
2021,Information et communication,958.8,8.0,13500
2021,Activites financieres et assurance,552.5,8.0,13500
2021,Activites immobilieres,696.4,8.0,13500
2021,"Activites specialisees, scientifiques et techniques",3487.7,8.0,13500
2021,Activites de services administratifs et de soutien,1409.7,8.0,13500
2021,Enseignement,608.5,8.0,13500
2021,Sante humaine et action sociale,2553.8,8.0,13500
2021,"Arts, spectacles et activites recreatives",634.1,8.0,13500
2021,Autres activites de services,1761.3,8.0,13500
2022,"Agriculture, sylviculture et peche",213.6,7.2,15100
2022,Industries extractives,12.9,7.2,15100
2022,Industrie manufacturiere,831.3,7.2,15100
2022,"Energie, eau, gaz",127.1,7.2,15100
2022,Construction,2716.4,7.2,15100
2022,Commerce ; reparation automobiles,3649.8,7.2,15100
2022,Transports et entreposage,710.8,7.2,15100
2022,Hebergement et restauration,1893.4,7.2,15100
2022,Information et communication,746.2,7.2,15100
2022,Activites financieres et assurance,450.6,7.2,15100
2022,Activites immobilieres,573.1,7.2,15100
2022,"Activites specialisees, scientifiques et techniques",2652.1,7.2,15100
2022,Activites de services administratifs et de soutien,1072.1,7.2,15100
2022,Enseignement,479.2,7.2,15100
2022,Sante humaine et action sociale,1909.2,7.2,15100
2022,"Arts, spectacles et activites recreatives",514.1,7.2,15100
2022,Autres activites de services,1453.8,7.2,15100
2023,"Agriculture, sylviculture et peche",223.3,6.7,15800
2023,Industries extractives,13.0,6.7,15800
2023,Industrie manufacturiere,819.2,6.7,15800
2023,"Energie, eau, gaz",129.1,6.7,15800
2023,Construction,2873.8,6.7,15800
2023,Commerce ; reparation automobiles,3691.8,6.7,15800
2023,Transports et entreposage,711.3,6.7,15800
2023,Hebergement et restauration,1878.4,6.7,15800
2023,Information et communication,806.5,6.7,15800
2023,Activites financieres et assurance,417.7,6.7,15800
2023,Activites immobilieres,587.7,6.7,15800
2023,"Activites specialisees, scientifiques et techniques",2890.5,6.7,15800
2023,Activites de services administratifs et de soutien,1123.2,6.7,15800
2023,Enseignement,501.3,6.7,15800
2023,Sante humaine et action sociale,2052.2,6.7,15800
2023,"Arts, spectacles et activites recreatives",540.4,6.7,15800
2023,Autres activites de services,1552.7,6.7,15800
2024,"Agriculture, sylviculture et peche",218.8,6.4,16100
2024,Industries extractives,13.1,6.4,16100
2024,Industrie manufacturiere,897.6,6.4,16100
2024,"Energie, eau, gaz",138.2,6.4,16100
2024,Construction,2958.9,6.4,16100
2024,Commerce ; reparation automobiles,4215.0,6.4,16100
2024,Transports et entreposage,781.7,6.4,16100
2024,Hebergement et restauration,1990.3,6.4,16100
2024,Information et communication,869.3,6.4,16100
2024,Activites financieres et assurance,450.6,6.4,16100
2024,Activites immobilieres,602.6,6.4,16100
2024,"Activites specialisees, scientifiques et techniques",3128.2,6.4,16100
2024,Activites de services administratifs et de soutien,1192.9,6.4,16100
2024,Enseignement,517.1,6.4,16100
2024,Sante humaine et action sociale,2088.3,6.4,16100
2024,"Arts, spectacles et activites recreatives",545.7,6.4,16100
2024,Autres activites de services,1690.1,6.4,16100
